Week,Pokémon Go,trump,Game of Thrones,clinton,Islamic State of Iraq and the Levant
2015-07-26 - 2015-08-01,0,2,3,1,3
2015-08-02 - 2015-08-08,0,4,3,1,2
2015-08-09 - 2015-08-15,0,4,3,1,3
2015-08-16 - 2015-08-22,0,4,2,2,2
2015-08-23 - 2015-08-29,0,5,2,1,2
2015-08-30 - 2015-09-05,0,3,2,1,3
2015-09-06 - 2015-09-12,1,3,2,1,3
2015-09-13 - 2015-09-19,1,4,2,1,3
2015-09-20 - 2015-09-26,1,3,2,1,2
2015-09-27 - 2015-10-03,0,3,2,1,3
2015-10-04 - 2015-10-10,0,2,2,1,3
2015-10-11 - 2015-10-17,0,3,2,2,3
2015-10-18 - 2015-10-24,0,2,2,2,2
2015-10-25 - 2015-10-31,0,2,2,1,3
2015-11-01 - 2015-11-07,0,2,2,1,2
2015-11-08 - 2015-11-14,0,3,2,1,8
2015-11-15 - 2015-11-21,0,3,2,1,25
2015-11-22 - 2015-11-28,0,3,2,1,10
2015-11-29 - 2015-12-05,0,2,2,1,7
2015-12-06 - 2015-12-12,0,8,2,1,5
2015-12-13 - 2015-12-19,0,5,2,1,4
2015-12-20 - 2015-12-26,0,5,2,2,3
2015-12-27 - 2016-01-02,0,3,3,1,3
2016-01-03 - 2016-01-09,0,3,3,1,3
2016-01-10 - 2016-01-16,0,4,2,2,3
2016-01-17 - 2016-01-23,0,4,2,2,3
2016-01-24 - 2016-01-30,0,6,2,2,3
2016-01-31 - 2016-02-06,0,6,2,3,2
2016-02-07 - 2016-02-13,0,5,2,3,2
2016-02-14 - 2016-02-20,0,6,3,2,2
2016-02-21 - 2016-02-27,0,10,2,3,2
2016-02-28 - 2016-03-05,0,17,2,4,2
2016-03-06 - 2016-03-12,0,12,3,3,2
2016-03-13 - 2016-03-19,0,14,3,3,2
2016-03-20 - 2016-03-26,0,10,3,2,4
2016-03-27 - 2016-04-02,0,8,3,2,3
2016-04-03 - 2016-04-09,0,6,3,2,2
2016-04-10 - 2016-04-16,0,5,4,2,2
2016-04-17 - 2016-04-23,0,6,5,3,2
2016-04-24 - 2016-04-30,0,7,14,2,2
2016-05-01 - 2016-05-07,0,11,11,3,2
2016-05-08 - 2016-05-14,0,7,10,3,2
2016-05-15 - 2016-05-21,0,6,10,2,2
2016-05-22 - 2016-05-28,0,6,12,3,2
2016-05-29 - 2016-06-04,0,6,11,2,2
2016-06-05 - 2016-06-11,0,7,11,5,2
2016-06-12 - 2016-06-18,0,7,10,3,3
2016-06-19 - 2016-06-25,0,6,13,2,2
2016-06-26 - 2016-07-02,0,5,18,3,2
2016-07-03 - 2016-07-09,29,5,8,4,3
2016-07-10 - 2016-07-16,100,6,6,3,3
2016-07-17 - 2016-07-23,64,23,4,4,2
