Week,Tinder,Pokémon Go,WhatsApp,Facebook
2015-07-26 - 2015-08-01,0,0,45,54
2015-08-02 - 2015-08-08,0,0,75,48
2015-08-09 - 2015-08-15,0,0,53,50
2015-08-16 - 2015-08-22,0,0,58,63
2015-08-23 - 2015-08-29,8,0,56,67
2015-08-30 - 2015-09-05,0,0,48,46
2015-09-06 - 2015-09-12,0,0,68,61
2015-09-13 - 2015-09-19,0,0,52,84
2015-09-20 - 2015-09-26,0,0,41,73
2015-09-27 - 2015-10-03,0,0,59,33
2015-10-04 - 2015-10-10,0,0,58,54
2015-10-11 - 2015-10-17,0,0,36,49
2015-10-18 - 2015-10-24,0,0,58,35
2015-10-25 - 2015-10-31,0,0,68,60
2015-11-01 - 2015-11-07,6,0,37,57
2015-11-08 - 2015-11-14,6,6,52,62
2015-11-15 - 2015-11-21,5,5,49,63
2015-11-22 - 2015-11-28,5,5,29,43
2015-11-29 - 2015-12-05,5,0,47,47
2015-12-06 - 2015-12-12,5,0,47,39
2015-12-13 - 2015-12-19,5,0,77,30
2015-12-20 - 2015-12-26,5,0,73,50
2015-12-27 - 2016-01-02,5,0,66,43
2016-01-03 - 2016-01-09,5,0,59,59
2016-01-10 - 2016-01-16,5,5,44,56
2016-01-17 - 2016-01-23,5,5,54,67
2016-01-24 - 2016-01-30,5,5,53,60
2016-01-31 - 2016-02-06,5,5,73,35
2016-02-07 - 2016-02-13,5,5,57,81
2016-02-14 - 2016-02-20,5,0,69,71
2016-02-21 - 2016-02-27,0,0,42,48
2016-02-28 - 2016-03-05,0,0,48,57
2016-03-06 - 2016-03-12,0,0,54,71
2016-03-13 - 2016-03-19,0,0,51,70
2016-03-20 - 2016-03-26,0,0,79,69
2016-03-27 - 2016-04-02,0,0,60,50
2016-04-03 - 2016-04-09,0,0,45,71
2016-04-10 - 2016-04-16,5,0,56,73
2016-04-17 - 2016-04-23,5,0,54,68
2016-04-24 - 2016-04-30,5,5,61,47
2016-05-01 - 2016-05-07,5,5,70,60
2016-05-08 - 2016-05-14,5,5,60,60
2016-05-15 - 2016-05-21,5,5,51,62
2016-05-22 - 2016-05-28,5,5,60,53
2016-05-29 - 2016-06-04,5,5,51,46
2016-06-05 - 2016-06-11,5,5,53,69
2016-06-12 - 2016-06-18,5,5,56,61
2016-06-19 - 2016-06-25,5,5,60,55
2016-06-26 - 2016-07-02,5,5,52,55
2016-07-03 - 2016-07-09,5,22,62,85
2016-07-10 - 2016-07-16,5,100,58,43
2016-07-17 - 2016-07-23,7,61,82,56
